circuit,mode,lambda,coverage_proxy_mode,segment_window,ratio,k,coverage_proxy,coverage_loss,toggles,activity,max_stress,stress_variance,stress_imbalance,max_segment_stress,segment_variance,hotspot_count,tradeoff_score,pareto_cov_maxstress,pareto_cov_activity,selection_time_ms,simulation_time_ms
s1196,co_wear,0.500000,combined,16,0.250000,5,0.505275,0.494725,1503,0.448657,0.465672,0.000213,0.037924,0.448657,0.000000,0,-0.312709,1,1,0.001,0.082
s1196,co_wear,0.500000,combined,16,0.300000,5,0.505275,0.494725,1503,0.448657,0.465672,0.000213,0.037924,0.448657,0.000000,0,-0.312709,1,1,0.001,0.053
s1196,co_wear,0.500000,combined,16,0.350000,6,0.580305,0.419695,2345,0.486111,0.527363,0.000503,0.084861,0.486111,0.000000,0,-0.348127,1,0,0.001,0.108
s1196,co_wear,0.500000,combined,16,0.400000,7,0.676436,0.323564,3272,0.498325,0.529851,0.000474,0.063264,0.498325,0.000000,0,-0.262619,1,0,0.001,0.156
s1196,co_wear,0.500000,combined,16,0.450000,8,0.776084,0.223916,4051,0.472365,0.530784,0.000924,0.123673,0.472365,0.000000,0,-0.177887,1,0,0.001,0.209
s1196,co_wear,0.500000,combined,16,0.500000,9,0.793669,0.206331,5111,0.470886,0.531509,0.001029,0.128742,0.470886,0.000000,0,-0.168288,0,0,0.001,0.259
s1196,co_wear,0.500000,combined,16,0.550000,10,0.847597,0.152403,6223,0.464403,0.561940,0.003018,0.210027,0.464403,0.000000,0,-0.299447,0,1,0.001,0.306
s1196,co_wear,0.500000,combined,16,0.600000,11,0.901524,0.098476,7958,0.490810,0.571913,0.002210,0.165243,0.490810,0.000000,0,-0.210750,0,0,0.002,0.381
s1196,co_wear,0.500000,combined,16,0.650000,12,0.903869,0.096131,9568,0.495854,0.582711,0.002700,0.175167,0.495854,0.000000,0,-0.262730,0,0,0.001,0.419
s1196,co_wear,0.500000,combined,16,0.700000,13,0.935522,0.064478,11020,0.486620,0.563146,0.002692,0.157260,0.486620,0.000000,0,-0.205436,0,0,0.001,0.488
s1196,co_wear,0.500000,combined,16,0.750000,14,0.962485,0.037515,12596,0.479592,0.562367,0.002810,0.172594,0.479592,0.000000,0,-0.181294,0,0,0.001,0.566
s1196,co_wear,0.500000,combined,16,0.800000,14,0.962485,0.037515,12596,0.479592,0.562367,0.002810,0.172594,0.479592,0.000000,0,-0.181294,0,0,0.002,0.512
s1196,co_wear,0.500000,combined,16,0.850000,15,0.963658,0.036342,14100,0.467662,0.542786,0.002072,0.160638,0.467662,0.000000,0,-0.091517,0,0,0.001,0.614
s1196,co_wear,0.500000,combined,16,0.900000,16,0.983587,0.016413,16013,0.466797,0.531250,0.001857,0.138075,0.466797,0.000000,0,-0.043056,1,1,0.001,0.698
s1196,co_wear,0.500000,combined,16,0.950000,17,0.989449,0.010551,18834,0.486340,0.535996,0.001226,0.102103,0.486858,0.000002,0,-0.006506,0,0,0.002,0.770
s1196,co_wear,0.500000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.029558,1,1,0.002,0.816
s1196,co_wear,0.750000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.814957,0,0,0.004,0.002
s1196,co_wear,0.750000,combined,16,0.100000,2,0.243845,0.756155,253,0.472015,0.477612,0.000031,0.011858,0.472015,0.000000,0,-0.589886,0,0,0.000,0.007
s1196,co_wear,0.750000,combined,16,0.150000,3,0.317702,0.682298,555,0.460199,0.472637,0.000087,0.027027,0.460199,0.000000,0,-0.505171,0,0,0.000,0.015
s1196,co_wear,0.750000,combined,16,0.200000,4,0.399766,0.600234,908,0.423507,0.436567,0.000078,0.030837,0.423507,0.000000,0,-0.358784,1,1,0.000,0.022
s1196,co_wear,0.750000,combined,16,0.250000,5,0.474795,0.525205,1420,0.423881,0.477612,0.000762,0.126761,0.423881,0.000000,0,-0.368323,1,1,0.000,0.030
s1196,co_wear,0.750000,combined,16,0.300000,5,0.474795,0.525205,1420,0.423881,0.477612,0.000762,0.126761,0.423881,0.000000,0,-0.368323,1,1,0.000,0.022
s1196,co_wear,0.750000,combined,16,0.350000,6,0.492380,0.507620,2062,0.427446,0.487562,0.000858,0.140640,0.427446,0.000000,0,-0.369384,1,1,0.000,0.039
s1196,co_wear,0.750000,combined,16,0.400000,7,0.597890,0.402110,3163,0.481724,0.528785,0.000660,0.097692,0.481724,0.000000,0,-0.333529,1,0,0.000,0.053
s1196,co_wear,0.750000,combined,16,0.450000,8,0.694021,0.305979,4234,0.493703,0.530784,0.000628,0.075106,0.493703,0.000000,0,-0.247513,1,0,0.000,0.064
s1196,co_wear,0.750000,combined,16,0.500000,9,0.696366,0.303634,5416,0.498987,0.549751,0.001259,0.101736,0.498987,0.000000,0,-0.311370,0,0,0.001,0.075
s1196,co_wear,0.750000,combined,16,0.550000,10,0.750293,0.249707,6506,0.485522,0.578358,0.002859,0.191208,0.485522,0.000000,0,-0.384755,0,0,0.000,0.085
s1196,co_wear,0.750000,combined,16,0.600000,11,0.849941,0.150059,7641,0.471259,0.574627,0.003486,0.219343,0.471259,0.000000,0,-0.314113,0,0,0.001,0.102
s1196,co_wear,0.750000,combined,16,0.650000,12,0.903869,0.096131,9568,0.495854,0.582711,0.002700,0.175167,0.495854,0.000000,0,-0.232694,0,0,0.001,0.116
s1196,co_wear,0.750000,combined,16,0.700000,13,0.905041,0.094959,10924,0.482381,0.558553,0.001891,0.157909,0.482381,0.000000,0,-0.140778,0,0,0.001,0.131
s1196,co_wear,0.750000,combined,16,0.750000,14,0.932005,0.067995,12650,0.481648,0.546375,0.001941,0.134387,0.481648,0.000000,0,-0.106265,0,0,0.001,0.152
s1196,co_wear,0.750000,combined,16,0.800000,14,0.932005,0.067995,12650,0.481648,0.546375,0.001941,0.134387,0.481648,0.000000,0,-0.106265,0,0,0.001,0.146
s1196,co_wear,0.750000,combined,16,0.850000,15,0.963658,0.036342,14100,0.467662,0.542786,0.002072,0.160638,0.467662,0.000000,0,-0.068462,0,0,0.001,0.168
s1196,co_wear,0.750000,combined,16,0.900000,16,0.983587,0.016413,16013,0.466797,0.531250,0.001857,0.138075,0.466797,0.000000,0,-0.022400,1,1,0.001,0.190
s1196,co_wear,0.750000,combined,16,0.950000,17,0.989449,0.010551,18834,0.486340,0.535996,0.001226,0.102103,0.486858,0.000002,0,0.007137,0,0,0.001,0.212
s1196,co_wear,0.750000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.040821,1,1,0.001,0.226
s1196,co_wear,1.000000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.818572,0,0,0.009,0.007
s1196,co_wear,1.000000,combined,16,0.100000,2,0.243845,0.756155,253,0.472015,0.477612,0.000031,0.011858,0.472015,0.000000,0,-0.593463,0,0,0.003,0.017
s1196,co_wear,1.000000,combined,16,0.150000,3,0.317702,0.682298,555,0.460199,0.472637,0.000087,0.027027,0.460199,0.000000,0,-0.509585,0,0,0.001,0.034
s1196,co_wear,1.000000,combined,16,0.200000,4,0.335287,0.664713,977,0.455690,0.488806,0.000370,0.072671,0.455690,0.000000,0,-0.526691,0,0,0.001,0.055
s1196,co_wear,1.000000,combined,16,0.250000,5,0.417351,0.582649,1430,0.426866,0.456716,0.000234,0.069930,0.426866,0.000000,0,-0.379311,1,1,0.001,0.080
s1196,co_wear,1.000000,combined,16,0.300000,5,0.417351,0.582649,1430,0.426866,0.456716,0.000234,0.069930,0.426866,0.000000,0,-0.379311,1,1,0.001,0.056
s1196,co_wear,1.000000,combined,16,0.350000,6,0.492380,0.507620,2062,0.427446,0.487562,0.000858,0.140640,0.427446,0.000000,0,-0.386027,1,1,0.001,0.118
s1196,co_wear,1.000000,combined,16,0.400000,7,0.494725,0.505275,2880,0.438623,0.518124,0.001583,0.181250,0.438623,0.000000,0,-0.483413,1,1,0.001,0.140
s1196,co_wear,1.000000,combined,16,0.450000,8,0.600234,0.399766,4179,0.487290,0.550373,0.001354,0.129457,0.487290,0.000000,0,-0.429282,0,0,0.001,0.198
s1196,co_wear,1.000000,combined,16,0.500000,9,0.696366,0.303634,5416,0.498987,0.549751,0.001259,0.101736,0.498987,0.000000,0,-0.334707,0,0,0.001,0.250
s1196,co_wear,1.000000,combined,16,0.550000,10,0.750293,0.249707,6506,0.485522,0.578358,0.002859,0.191208,0.485522,0.000000,0,-0.433440,0,0,0.001,0.299
s1196,co_wear,1.000000,combined,16,0.600000,11,0.751465,0.248535,7666,0.472801,0.550204,0.001937,0.163710,0.472801,0.000000,0,-0.315891,0,0,0.001,0.360
s1196,co_wear,1.000000,combined,16,0.650000,12,0.851114,0.148886,8863,0.459318,0.549129,0.002414,0.195532,0.459318,0.000000,0,-0.245016,0,1,0.002,0.469
s1196,co_wear,1.000000,combined,16,0.700000,13,0.905041,0.094959,10924,0.482381,0.558553,0.001891,0.157909,0.482381,0.000000,0,-0.174115,0,0,0.006,0.468
s1196,co_wear,1.000000,combined,16,0.750000,14,0.932005,0.067995,12650,0.481648,0.546375,0.001941,0.134387,0.481648,0.000000,0,-0.140303,0,0,0.003,0.549
s1196,co_wear,1.000000,combined,16,0.800000,14,0.932005,0.067995,12650,0.481648,0.546375,0.001941,0.134387,0.481648,0.000000,0,-0.140303,0,0,0.002,0.498
s1196,co_wear,1.000000,combined,16,0.850000,15,0.963658,0.036342,14100,0.467662,0.542786,0.002072,0.160638,0.467662,0.000000,0,-0.104543,0,0,0.002,0.626
s1196,co_wear,1.000000,combined,16,0.900000,16,0.983587,0.016413,16013,0.466797,0.531250,0.001857,0.138075,0.466797,0.000000,0,-0.055017,1,1,0.002,0.694
s1196,co_wear,1.000000,combined,16,0.950000,17,0.989449,0.010551,18834,0.486340,0.535996,0.001226,0.102103,0.486858,0.000002,0,-0.015601,0,0,0.003,0.763
s1196,co_wear,1.000000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.021463,1,1,0.003,0.811
s1196,co_wear_leveling,0.000000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.796240,0,0,0.005,0.007
s1196,co_wear_leveling,0.000000,combined,16,0.100000,2,0.270809,0.729191,260,0.485075,0.578358,0.008702,0.192308,0.485075,0.000000,0,-0.889448,0,0,0.003,0.019
s1196,co_wear_leveling,0.000000,combined,16,0.150000,3,0.370457,0.629543,655,0.543118,0.599502,0.003240,0.103817,0.543118,0.000000,0,-0.702163,0,0,0.004,0.034
s1196,co_wear_leveling,0.000000,combined,16,0.200000,4,0.466589,0.533411,1162,0.541978,0.606343,0.001444,0.118761,0.541978,0.000000,0,-0.559053,0,0,0.004,0.055
s1196,co_wear_leveling,0.000000,combined,16,0.250000,5,0.548652,0.451348,1729,0.516119,0.565672,0.000754,0.096009,0.516119,0.000000,0,-0.400544,0,0,0.005,0.080
s1196,co_wear_leveling,0.000000,combined,16,0.300000,5,0.548652,0.451348,1729,0.516119,0.565672,0.000754,0.096009,0.516119,0.000000,0,-0.400544,0,0,0.004,0.055
s1196,co_wear_leveling,0.000000,combined,16,0.350000,6,0.627198,0.372802,2307,0.478234,0.528607,0.000545,0.105332,0.478234,0.000000,0,-0.251592,0,0,0.006,0.106
s1196,co_wear_leveling,0.000000,combined,16,0.400000,7,0.702227,0.297773,3059,0.465885,0.519190,0.000673,0.114416,0.465885,0.000000,0,-0.161435,1,1,0.009,0.140
s1196,co_wear_leveling,0.000000,combined,16,0.450000,8,0.776084,0.223916,4051,0.472365,0.530784,0.000924,0.123673,0.472365,0.000000,0,-0.110137,0,0,0.009,0.201
s1196,co_wear_leveling,0.000000,combined,16,0.500000,9,0.830012,0.169988,5076,0.467662,0.521559,0.000714,0.115248,0.467662,0.000000,0,-0.038355,1,0,0.013,0.256
s1196,co_wear_leveling,0.000000,combined,16,0.550000,10,0.883939,0.116061,6634,0.495075,0.575373,0.002232,0.162195,0.495075,0.000000,0,-0.096902,0,0,0.013,0.290
s1196,co_wear_leveling,0.000000,combined,16,0.600000,11,0.915592,0.084408,7844,0.483779,0.552917,0.002248,0.142912,0.483779,0.000000,0,-0.037111,0,0,0.014,0.373
s1196,co_wear_leveling,0.000000,combined,16,0.650000,12,0.942556,0.057444,9178,0.475643,0.552861,0.002421,0.162345,0.475643,0.000000,0,-0.007810,0,0,0.015,0.441
s1196,co_wear_leveling,0.000000,combined,16,0.700000,13,0.962485,0.037515,10727,0.473682,0.537887,0.002058,0.135546,0.473682,0.000000,0,0.036652,0,0,0.015,0.519
s1196,co_wear_leveling,0.000000,combined,16,0.750000,14,0.980070,0.019930,12397,0.472015,0.537846,0.002090,0.139469,0.472015,0.000000,0,0.054850,0,0,0.016,0.584
s1196,co_wear_leveling,0.000000,combined,16,0.800000,14,0.980070,0.019930,12397,0.472015,0.537846,0.002090,0.139469,0.472015,0.000000,0,0.054850,0,0,0.018,0.545
s1196,co_wear_leveling,0.000000,combined,16,0.850000,15,0.990621,0.009379,14063,0.466434,0.536816,0.002341,0.150892,0.466434,0.000000,0,0.064025,0,1,0.019,0.638
s1196,co_wear_leveling,0.000000,combined,16,0.900000,16,0.996483,0.003517,16646,0.485250,0.539179,0.001040,0.111138,0.485250,0.000000,0,0.088507,0,0,0.018,0.734
s1196,co_wear_leveling,0.000000,combined,16,0.950000,17,0.998828,0.001172,19022,0.491195,0.548727,0.001346,0.117128,0.494485,0.000006,0,0.068861,0,0,0.019,0.757
s1196,co_wear_leveling,0.000000,combined,16,1.000000,18,1.000000,0.000000,20854,0.480330,0.533167,0.001012,0.110003,0.481939,0.000003,1,0.102162,1,1,0.019,0.825
s1196,co_wear_leveling,0.250000,combined,16,0.050000,1,0.165299,0.834701,75,0.559701,0.559701,0.000000,0.000000,0.559701,0.000000,0,-0.796240,0,0,0.001,0.002
s1196,co_wear_leveling,0.250000,combined,16,0.100000,2,0.270809,0.729191,260,0.485075,0.578358,0.008702,0.192308,0.485075,0.000000,0,-0.889448,0,0,0.001,0.008
s1196,co_wear_leveling,0.250000,combined,16,0.150000,3,0.370457,0.629543,655,0.543118,0.599502,0.003240,0.103817,0.543118,0.000000,0,-0.702163,0,0,0.001,0.015
s1196,co_wear_leveling,0.250000,combined,16,0.200000,4,0.466589,0.533411,1162,0.541978,0.606343,0.001444,0.118761,0.541978,0.000000,0,-0.559053,0,0,0.001,0.022
s1196,co_wear_leveling,0.250000,combined,16,0.250000,5,0.548652,0.451348,1729,0.516119,0.565672,0.000754,0.096009,0.516119,0.000000,0,-0.400544,0,0,0.002,0.030
s1196,co_wear_leveling,0.250000,combined,16,0.300000,5,0.548652,0.451348,1729,0.516119,0.565672,0.000754,0.096009,0.516119,0.000000,0,-0.400544,0,0,0.002,0.022
s1196,co_wear_leveling,0.250000,combined,16,0.350000,6,0.627198,0.372802,2307,0.478234,0.528607,0.000545,0.105332,0.478234,0.000000,0,-0.251592,0,0,0.002,0.035
s1196,co_wear_leveling,0.250000,combined,16,0.400000,7,0.702227,0.297773,3059,0.465885,0.519190,0.000673,0.114416,0.465885,0.000000,0,-0.161435,1,1,0.003,0.046
s1196,co_wear_leveling,0.250000,combined,16,0.450000,8,0.776084,0.223916,4051,0.472365,0.530784,0.000924,0.123673,0.472365,0.000000,0,-0.110137,1,0,0.003,0.060
s1196,co_wear_leveling,0.250000,combined,16,0.500000,9,0.830012,0.169988,5069,0.467017,0.564677,0.003217,0.209114,0.467017,0.000000,0,-0.145248,0,0,0.004,0.071
